character, class
0,Digit
1,Digit
2,Digit
3,Digit
4,Digit
5,Digit
6,Digit
7,Digit
8,Digit
9,Digit
A,AtoF
B,AtoF
C,AtoF
D,AtoF
E,AtoF
F,AtoF
a,AtoF
b,AtoF
c,AtoF
d,AtoF
e,AtoF
f,AtoF
G,GtoZ
H,GtoZ
I,GtoZ
J,GtoZ
K,GtoZ
L,GtoZ
M,GtoZ
N,GtoZ
O,GtoZ
P,GtoZ
Q,GtoZ
R,GtoZ
S,GtoZ
T,GtoZ
U,GtoZ
V,GtoZ
W,GtoZ
X,GtoZ
Y,GtoZ
Z,GtoZ
g,GtoZ
h,GtoZ
i,GtoZ
j,GtoZ
k,GtoZ
l,GtoZ
m,GtoZ
n,GtoZ
o,GtoZ
p,GtoZ
q,GtoZ
r,GtoZ
s,GtoZ
t,GtoZ
u,GtoZ
v,GtoZ
w,GtoZ
x,GtoZ
y,GtoZ
z,GtoZ
.,Point
#,Pound
_,Underscore
*,Asterisk
/,Slash
+,Plus
-,Minus
>,GT
<,LT
=,Equals
!,Exclamation
(,BracOpen
),BracClose
:,Colon
;,SemiColon
{,CurlyBracketOpen
},CurlyBracketClose
